time,team,bets_pc,money_pc,Open_total,Open_odds,bet365_total,bet365_odds,fanduel_total,fanduel_odds,betmgm_total,betmgm_odds,caesars-sportsbook_total,caesars-sportsbook_odds,pointsbet_total,pointsbet_odds,draftkings_total,draftkings_odds,hardrock_total,hardrock_odds,rivers-casino_total,rivers-casino_odds,Consensus_total,Consensus_odds
2024-03-01 00:00:00+00:00,Milwaukee Bucks,0.64,0.55,219.5,1.9090909090909092,218.0,1.9090909090909092,218.0,1.9090909090909092,218.5,1.9523809523809523,216.0,1.9090909090909092,218.0,1.9090909090909092,218.0,1.8928571428571428,217.0,1.9090909090909092,217.0,1.9174311926605505,218.0,1.9090909090909092
2024-03-01 00:00:00+00:00,Charlotte Hornets,,0.45,-219.5,1.9090909090909092,-218.0,1.9090909090909092,-218.0,1.9090909090909092,-218.5,1.8695652173913042,-216.0,1.9090909090909092,-218.0,1.9090909090909092,-218.0,1.925925925925926,-217.0,1.9090909090909092,-217.0,1.8928571428571428,-218.0,1.9090909090909092
2024-03-01 00:00:00+00:00,Utah Jazz,0.71,0.67,225.5,1.9090909090909092,225.5,1.9090909090909092,225.0,1.9090909090909092,225.5,1.9090909090909092,225.5,1.9090909090909092,225.5,1.9090909090909092,225.5,1.925925925925926,225.5,1.9090909090909092,226.0,1.9174311926605505,225.0,1.9090909090909092
2024-03-01 00:00:00+00:00,Orlando Magic,,0.33,-225.5,1.9090909090909092,-225.5,1.9090909090909092,-225.0,1.9090909090909092,-225.5,1.9090909090909092,-225.5,1.9090909090909092,-225.5,1.9090909090909092,-225.5,1.8928571428571428,-225.5,1.9090909090909092,-226.0,1.8928571428571428,-225.0,1.9090909090909092
2024-03-01 00:30:00+00:00,Golden State Warriors,0.71,0.16,224.5,1.8928571428571428,222.0,1.9090909090909092,222.0,1.925925925925926,221.5,1.9090909090909092,223.0,1.9090909090909092,221.5,1.9090909090909092,221.5,1.9090909090909092,222.0,1.9090909090909092,222.0,1.9174311926605505,222.0,1.925925925925926
2024-03-01 00:30:00+00:00,New York Knicks,,0.84,-224.5,1.925925925925926,-222.0,1.9090909090909092,-222.0,1.8928571428571428,-221.5,1.9090909090909092,-223.0,1.9090909090909092,-221.5,1.9090909090909092,-221.5,1.9090909090909092,-222.0,1.9090909090909092,-222.0,1.8928571428571428,-222.0,1.8928571428571428
2024-03-01 00:30:00+00:00,Atlanta Hawks,0.17,0.16,227.5,1.9090909090909092,221.5,1.9090909090909092,222.0,1.9090909090909092,221.5,1.9090909090909092,223.5,1.9090909090909092,221.0,1.9090909090909092,221.0,1.9090909090909092,221.5,1.9090909090909092,221.5,1.8928571428571428,222.0,1.9090909090909092
2024-03-01 00:30:00+00:00,Brooklyn Nets,,0.84,-227.5,1.9090909090909092,-221.5,1.9090909090909092,-222.0,1.9090909090909092,-221.5,1.9090909090909092,-223.5,1.9090909090909092,-221.0,1.9090909090909092,-221.0,1.9090909090909092,-221.5,1.9090909090909092,-221.5,1.9174311926605505,-222.0,1.9090909090909092
2024-03-01 01:30:00+00:00,Oklahoma City Thunder,0.39,0.7,239.5,1.9090909090909092,238.0,1.9090909090909092,238.0,1.9090909090909092,238.5,1.9090909090909092,236.5,1.9090909090909092,238.0,1.9090909090909092,238.0,1.9090909090909092,238.0,1.9090909090909092,238.0,1.8849557522123894,238.0,1.9090909090909092
2024-03-01 01:30:00+00:00,San Antonio Spurs,,0.3,-239.5,1.9090909090909092,-238.0,1.9090909090909092,-238.0,1.9090909090909092,-238.5,1.9090909090909092,-236.5,1.9090909090909092,-238.0,1.9090909090909092,-238.0,1.9090909090909092,-238.0,1.9090909090909092,-238.0,1.925925925925926,-238.0,1.9090909090909092
2024-03-01 02:00:00+00:00,Houston Rockets,0.78,0.7,233.5,1.9090909090909092,231.5,1.9090909090909092,231.5,1.8928571428571428,231.5,1.9090909090909092,234.0,1.9090909090909092,231.5,1.9090909090909092,231.5,1.8695652173913042,231.5,1.9090909090909092,231.5,1.9174311926605505,231.5,1.8928571428571428
2024-03-01 02:00:00+00:00,Phoenix Suns,,0.3,-233.5,1.9090909090909092,-231.5,1.9090909090909092,-231.5,1.925925925925926,-231.5,1.9090909090909092,-234.0,1.9090909090909092,-231.5,1.9090909090909092,-231.5,1.9523809523809523,-231.5,1.9090909090909092,-231.5,1.8928571428571428,-231.5,1.925925925925926
2024-03-01 03:00:00+00:00,Miami Heat,0.56,0.14,221.5,1.9090909090909092,215.0,1.9090909090909092,214.5,1.9090909090909092,215.5,1.9523809523809523,213.5,1.9090909090909092,214.0,1.9090909090909092,214.5,1.8928571428571428,214.5,1.9090909090909092,215.0,1.925925925925926,214.5,1.9090909090909092
2024-03-01 03:00:00+00:00,Denver Nuggets,,0.86,-221.5,1.9090909090909092,-215.0,1.9090909090909092,-214.5,1.9090909090909092,-215.5,1.8695652173913042,-213.5,1.9090909090909092,-214.0,1.9090909090909092,-214.5,1.925925925925926,-214.5,1.9090909090909092,-215.0,1.8849557522123894,-214.5,1.9090909090909092
2024-03-01 03:30:00+00:00,Washington Wizards,0.45,0.68,241.5,1.9090909090909092,243.0,1.9090909090909092,243.5,1.8928571428571428,243.5,1.9090909090909092,243.0,1.9090909090909092,243.5,1.9090909090909092,243.0,1.8695652173913042,243.0,1.9090909090909092,243.0,1.9090909090909092,243.5,1.8928571428571428
2024-03-01 03:30:00+00:00,Los Angeles Lakers,,0.32,-241.5,1.9090909090909092,-243.0,1.9090909090909092,-243.5,1.925925925925926,-243.5,1.9090909090909092,-243.0,1.9090909090909092,-243.5,1.9090909090909092,-243.0,1.9523809523809523,-243.0,1.9090909090909092,-243.0,1.9090909090909092,-243.5,1.925925925925926
